Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,industry,Summary Quote
ASRVP,AmeriServ Financial Inc.,27,0,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/asrvp
ASCA,"Ameristar Casinos, Inc.",17.54,577332292.3,n/a,1993,Consumer Services,Hotels/Resorts,http://www.nasdaq.com/symbol/asca
ATLO,Ames National Corporation,21.21,197484464.7,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/atlo
AMGN,Amgen Inc.,82.09,63272417277,n/a,1983,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/amgn
FOLD,"Amicus Therapeutics, Inc.",5.14,253605446.3,n/a,2007,Consumer Durables,Major Pharmaceuticals,http://www.nasdaq.com/symbol/fold
AMKR,"Amkor Technology, Inc.",4.84,753904085.9,n/a,1998,Technology,Semiconductors,http://www.nasdaq.com/symbol/amkr
AMPL,Ampal-American Israel Corporation,1.37,3845162.56,n/a,n/a,Finance,Finance/Investors Services,http://www.nasdaq.com/symbol/ampl
AMPE,"Ampio Pharmaceuticals, Inc.",3.02,111702715.1,n/a,n/a,Consumer Durables,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ampe
AMSG,Amsurg Corp.,27.89,880700909.5,n/a,n/a,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/amsg
ASYS,"Amtech Systems, Inc.",3.76,35641066.32,n/a,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/asys
AFSI,"AmTrust Financial Services, Inc.",26.55,1773851644,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/afsi
AMRS,"Amyris, Inc.",3.72,218509719.8,n/a,1992,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/amrs
ANAC,"Anacor Pharmaceuticals, Inc.",6.39,201400601.5,n/a,2010,Consumer Durables,Major Pharmaceuticals,http://www.nasdaq.com/symbol/anac
ANAD,"ANADIGICS, Inc.",1.24,88010097.4,n/a,1995,Technology,Semiconductors,http://www.nasdaq.com/symbol/anad
ADI,"Analog Devices, Inc.",41.16,12302954208,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/adi
ALOG,Analogic Corporation,79.89,977958495.6,n/a,1972,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/alog
ANLY,Analysts International Corporation,4,20326428,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/anly
ANEN,"Anaren, Inc.",19.99,277815742.6,n/a,1972,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/anen
ACOM          ,Ancestry.com Inc.,31.02,1333910128,n/a,1993,Technology,EDP Services,http://www.nasdaq.com/symbol/acom          
ANCB,Anchor Bancorp,12,30600000,n/a,2011,Finance,Banks,http://www.nasdaq.com/symbol/ancb
AMCF,Andatee China Marine Fuel Services Corporation,1.2499,11897756.85,n/a,2010,Energy,Oil Refining/Marketing,http://www.nasdaq.com/symbol/amcf
ANDA,Andina Acquisition Corporation,9.72,102060000,n/a,n/a,Finance,Business Services,http://www.nasdaq.com/symbol/anda
ANDAU,Andina Acquisition Corporation,10.05,16582510.05,n/a,n/a,Finance,Business Services,http://www.nasdaq.com/symbol/andau
ANDAW,Andina Acquisition Corporation,0.25,0,n/a,n/a,Finance,Business Services,http://www.nasdaq.com/symbol/andaw
ANGI,"Angie&#39;s List, Inc.",11.35,655634066.6,n/a,n/a,Consumer Services,Advertising,http://www.nasdaq.com/symbol/angi
ANGO,"AngioDynamics, Inc.",12.19,425217796.9,n/a,2004,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/ango
ANIK,Anika Therapeutics Inc.,14.55,200827684.5,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/anik
ANNB,Annapolis Bancorp Inc.,6.95,27628529.6,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/annb
ANSS,"ANSYS, Inc.",73.37,6774549028,n/a,1996,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/anss
ATRS,"Antares Pharma, Inc.",3.95,431831996.2,n/a,2002,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/atrs
ANTH,"Anthera Pharmaceuticals, Inc.",1.05,83067463.5,n/a,2010,Consumer Durables,Major Pharmaceuticals,http://www.nasdaq.com/symbol/anth
APAGF,Apco Oil and Gas International Inc.,17.59,517871411.6,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/apagf
ATNY,API Technologies Corp.,3.16,173056189.7,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/atny
APOG,"Apogee Enterprises, Inc.",16.8,476137300.8,n/a,1971,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/apog
APOL,"Apollo Group, Inc.",28.95,3282206250,n/a,1994,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/apol
AINV,Apollo Investment Corporation,8.19,1661680165,n/a,2004,n/a,n/a,http://www.nasdaq.com/symbol/ainv
AAPL,Apple Inc.,699.781,6.55979E+11,n/a,1980,Technology,Computer Manufacturing,http://www.nasdaq.com/symbol/aapl
ARCI,"Appliance Recycling Centers of America, Inc.",3.65,20279133.55,n/a,n/a,Consumer Services,Home Furnishings,http://www.nasdaq.com/symbol/arci
AMAT,"Applied Materials, Inc.",11.94,14775692103,n/a,1972,Technology,Semiconductors,http://www.nasdaq.com/symbol/amat
AMCC,Applied Micro Circuits Corporation,5.64,364290814.8,n/a,1997,Technology,Semiconductors,http://www.nasdaq.com/symbol/amcc
AREX,Approach Resources Inc.,33.44,1121324058,n/a,2007,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/arex
APRI,"Apricus Biosciences, Inc",2.99,88492419.73,n/a,n/a,Consumer Durables,Major Pharmaceuticals,http://www.nasdaq.com/symbol/apri
ARCW,"ARC Group Worldwide, Inc.",7.2492,11492222,n/a,n/a,Consumer Services,Telecommunications Equipment,http://www.nasdaq.com/symbol/arcw
ABIO,"ARCA biopharma, Inc.",0.35,5116859.3,n/a,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,http://www.nasdaq.com/symbol/abio
ACGL,Arch Capital Group Ltd.,40.98,5586180053,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/acgl
ACAT,Arctic Cat Inc.,43.8,575860456.2,n/a,1990,Capital Goods,Industrial Specialties,http://www.nasdaq.com/symbol/acat
ARDNA,"Arden Group, Inc.",94.5,290209500,n/a,n/a,Consumer Services,Food Chains,http://www.nasdaq.com/symbol/ardna
ARNA,"Arena Pharmaceuticals, Inc.",8.62,1868970763,n/a,2000,Consumer Durables,Major Pharmaceuticals,http://www.nasdaq.com/symbol/arna
ARCC,Ares Capital Corporation,17.29,4288365131,n/a,1999,n/a,n/a,http://www.nasdaq.com/symbol/arcc
AGII,"Argo Group International Holdings, Ltd.",31.34,791807387.8,n/a,n/a,Finance,Specialty Insurers,http://www.nasdaq.com/symbol/agii
